0;(0,1,10,0);(1,1,5,0);(2,2,3,0);(3,3,0,0)
1;(0,1,11,0);(1,1,6,0);(2,2,4,0);(3,3,2,0)
2;(0,1,12,1);(1,1,7,0);(2,2,5,0);(3,3,3,0)
3;(0,1,13,1);(1,1,8,0);(2,2,6,0);(3,3,7,0)
4;(0,1,14,0);(1,1,9,0);(2,2,7,0);(3,3,8,0)
5;(0,1,15,0);(1,1,10,0);(2,2,8,0);(3,3,9,0)
6;(0,1,16,0);(1,1,10,0);(2,2,9,0);(3,3,9,0)
7;(0,1,17,0);(1,1,11,0);(2,2,10,0);(3,3,9,0)
8;(0,1,18,0);(1,1,12,0);(2,2,11,0);(3,3,9,0)
